customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0019-['Y' 'H' 'U' 'P' 'M'],Female,0,Yes,No,45,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,66.09,2974.05,No
0020-['R' 'O' 'U' 'X' 'Z'],Male,0,No,No,23,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.73,2362.79,No
0021-['Y' 'M' 'I' 'O' 'M'],Male,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,61.94,1424.62,No
0022-['A' 'Y' 'G' 'I' 'X'],Female,1,Yes,No,0,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,33.83,0.0,No
0023-['A' 'L' 'H' 'X' 'K'],Male,1,No,No,33,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Mailed check,58.68,1936.44,No
0024-['S' 'Q' 'H' 'C' 'C'],Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,31.36,2257.92,No
0025-['A' 'E' 'J' 'G' 'Z'],Female,1,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,23.79,356.85,No
0026-['I' 'G' 'I' 'H' 'L'],Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,42.7,170.8,No
0027-['B' 'A' 'P' 'W' 'W'],Male,0,No,No,72,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,60.63,4365.36,No
0028-['X' 'E' 'C' 'L' 'H'],Female,1,Yes,Yes,8,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,31.27,250.16,No
0029-['V' 'C' 'A' 'C' 'E'],Female,0,No,Yes,12,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),88.77,1065.24,No
0030-['O' 'N' 'C' 'A' 'E'],Male,0,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),82.59,82.59,No
0031-['Z' 'W' 'N' 'G' 'I'],Male,0,Yes,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),100.05,200.1,Yes
0032-['O' 'O' 'Z' 'J' 'M'],Female,0,No,No,5,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),42.67,213.35,Yes
0033-['S' 'G' 'Q' 'T' 'D'],Male,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,56.59,1075.21,No
0034-['E' 'W' 'G' 'M' 'O'],Male,0,Yes,No,19,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,85.21,1618.99,No
0035-['K' 'D' 'M' 'G' 'S'],Male,0,Yes,No,22,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),59.46,1308.12,No
0036-['V' 'B' 'J' 'M' 'Y'],Male,0,Yes,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,57.18,1200.78,No
0037-['U' 'F' 'L' 'L' 'T'],Male,0,Yes,No,16,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),53.39,854.24,No
0038-['K' 'Z' 'W' 'Y' 'G'],Male,1,No,No,38,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),68.66,2609.08,No
0039-['A' 'A' 'Y' 'Y' 'T'],Female,0,No,Yes,65,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),59.63,3875.95,No
0040-['M' 'I' 'C' 'G' 'F'],Female,0,Yes,Yes,7,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,73.82,516.74,No
0041-['H' 'I' 'E' 'A' 'S'],Female,0,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,118.68,356.04,No
0042-['J' 'L' 'X' 'O' 'V'],Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),67.51,877.63,No
0043-['X' 'I' 'T' 'Q' 'Q'],Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,97.05,0.0,Yes
0044-['Z' 'T' 'L' 'G' 'B'],Male,0,No,No,51,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),86.19,4395.69,No
0045-['C' 'Q' 'E' 'Q' 'X'],Male,1,No,No,6,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,74.83,448.98,No
0046-['Q' 'Q' 'B' 'B' 'V'],Female,1,Yes,No,19,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),93.35,1773.65,No
0047-['W' 'E' 'A' 'A' 'S'],Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,83.01,166.02,No
0048-['B' 'U' 'L' 'Z' 'F'],Female,0,No,No,19,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),24.89,472.91,No
0049-['W' 'D' 'W' 'K' 'X'],Male,0,Yes,Yes,0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.06,0.0,No
0050-['Q' 'F' 'X' 'E' 'T'],Female,1,Yes,No,35,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),110.32,3861.2,No
0051-['B' 'F' 'V' 'K' 'P'],Male,0,No,No,72,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,100.11,7207.92,No
0052-['P' 'A' 'I' 'F' 'P'],Female,0,No,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),56.7,453.6,Yes
0053-['C' 'T' 'D' 'S' 'Z'],Male,0,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),110.05,770.35,No
0054-['C' 'S' 'T' 'G' 'T'],Female,0,Yes,No,14,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,28.36,397.04,No
0055-['I' 'A' 'H' 'G' 'R'],Male,0,No,Yes,23,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Mailed check,56.85,1307.55,No
0056-['H' 'A' 'K' 'Y' 'Y'],Male,0,Yes,No,5,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,18.51,92.55,No
0057-['R' 'W' 'J' 'C' 'G'],Female,0,Yes,No,39,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.67,2132.13,No
0058-['P' 'Z' 'P' 'Y' 'T'],Female,0,Yes,Yes,5,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),22.21,111.05,No
0059-['Q' 'B' 'A' 'P' 'L'],Female,0,No,No,0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),94.54,0.0,Yes
0060-['E' 'E' 'W' 'I' 'I'],Female,1,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),45.85,779.45,Yes
0061-['C' 'S' 'P' 'P' 'C'],Female,1,Yes,Yes,2,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,74.12,148.24,No
0062-['T' 'X' 'V' 'X' 'A'],Female,0,Yes,No,28,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,78.36,2194.08,Yes
0063-['X' 'T' 'K' 'Q' 'H'],Female,0,Yes,No,4,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,49.47,197.88,No
0064-['D' 'F' 'H' 'T' 'C'],Female,0,Yes,Yes,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,43.05,1722.0,Yes
0065-['P' 'Y' 'C' 'Y' 'R'],Male,0,No,Yes,15,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,74.2,1113.0,No
0066-['N' 'R' 'B' 'V' 'C'],Male,0,No,No,20,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),42.41,848.2,No
0067-['P' 'I' 'D' 'A' 'D'],Male,0,No,No,4,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,34.03,136.12,No
0068-['A' 'N' 'U' 'P' 'T'],Male,0,Yes,No,3,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.93,281.79,Yes
0069-['X' 'H' 'G' 'C' 'Q'],Female,0,Yes,Yes,23,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.64,1164.72,No
0070-['A' 'P' 'L' 'S' 'V'],Male,0,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,63.66,445.62,Yes
0071-['W' 'V' 'N' 'F' 'F'],Male,0,Yes,Yes,11,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,111.06,1221.66,No
0072-['M' 'S' 'V' 'H' 'B'],Female,0,No,No,15,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,30.98,464.7,No
0073-['U' 'A' 'O' 'A' 'E'],Male,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.54,147.24,No
0074-['P' 'S' 'D' 'C' 'Q'],Female,0,No,No,38,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),61.83,2349.54,No
0075-['Q' 'L' 'N' 'U' 'F'],Male,0,Yes,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,80.72,5408.24,No
0076-['C' 'I' 'E' 'X' 'Q'],Male,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),65.48,851.24,No
0077-['N' 'U' 'C' 'A' 'T'],Female,0,Yes,Yes,59,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,18.87,1113.33,No
0078-['U' 'W' 'A' 'C' 'R'],Female,0,No,Yes,51,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,59.39,3028.89,No
0079-['Y' 'J' 'V' 'Z' 'C'],Male,0,No,No,4,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,67.06,268.24,Yes
0080-['H' 'N' 'X' 'R' 'O'],Male,0,No,No,4,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),114.57,458.28,No
0081-['V' 'W' 'B' 'J' 'B'],Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),25.8,387.0,No
0082-['Z' 'Q' 'H' 'A' 'I'],Female,0,No,No,17,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),88.19,1499.23,No
0083-['K' 'V' 'P' 'G' 'J'],Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,582.5,No
0084-['W' 'Z' 'C' 'R' 'Y'],Female,0,Yes,No,9,No,No phone service,DSL,No,Yes,Yes,No,No,No,One year,No,Electronic check,107.1,963.9,No
0085-['X' 'M' 'Z' 'G' 'Y'],Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.26,1108.38,Yes
0086-['D' 'M' 'T' 'A' 'H'],Female,0,No,No,28,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),58.17,1628.76,No
0087-['N' 'P' 'N' 'L' 'S'],Female,0,No,No,2,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,83.24,166.48,No
0088-['W' 'O' 'B' 'B' 'W'],Male,0,Yes,No,29,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.54,1842.66,No
0089-['V' 'S' 'Y' 'Z' 'V'],Female,0,Yes,No,62,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,91.18,5653.16,No
0090-['Z' 'Z' 'V' 'Q' 'T'],Female,1,No,No,34,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,98.6,3352.4,No
0091-['J' 'F' 'O' 'V' 'K'],Male,1,Yes,Yes,5,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),88.74,443.7,Yes
0092-['E' 'A' 'H' 'U' 'L'],Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,56.1,112.2,No
0093-['L' 'E' 'G' 'D' 'F'],Female,0,No,No,16,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,21.55,344.8,No
0094-['M' 'T' 'O' 'C' 'W'],Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,32.11,2311.92,No
0095-['H' 'T' 'P' 'M' 'R'],Female,1,No,No,41,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,65.31,2677.71,No
0096-['J' 'S' 'Q' 'X' 'S'],Female,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),77.69,1476.11,No
0097-['Z' 'W' 'Z' 'E' 'Z'],Male,0,No,No,3,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),27.53,82.59,No
0098-['U' 'W' 'I' 'L' 'U'],Male,0,No,Yes,30,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),65.22,1956.6,Yes
0099-['A' 'Z' 'Z' 'A' 'O'],Male,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,47.19,1887.6,No
0100-['B' 'V' 'P' 'Y' 'H'],Female,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.96,1622.4,No
0101-['M' 'U' 'A' 'P' 'G'],Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,54.06,1189.32,No
0102-['E' 'V' 'W' 'C' 'L'],Female,0,Yes,No,17,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,82.59,1404.03,No
0103-['Z' 'P' 'S' 'E' 'V'],Male,0,No,No,23,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),97.15,2234.45,Yes
0104-['Y' 'N' 'E' 'O' 'Q'],Female,1,No,No,68,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),95.69,6506.92,No
0105-['N' 'T' 'E' 'L' 'P'],Female,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,70.08,1611.84,No
0106-['Z' 'Z' 'P' 'U' 'G'],Male,0,Yes,No,7,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,27.68,193.76,No
0107-['D' 'A' 'E' 'W' 'Z'],Male,0,Yes,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,78.76,1890.24,No
0108-['J' 'V' 'E' 'D' 'B'],Female,0,Yes,No,50,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,23.23,1161.5,No
0109-['T' 'J' 'Z' 'S' 'Z'],Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,61.36,1227.2,Yes
0110-['A' 'X' 'E' 'M' 'D'],Female,0,No,No,16,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,85.21,1363.36,No
0111-['P' 'X' 'P' 'W' 'B'],Female,1,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),30.59,948.29,No
0112-['Q' 'T' 'X' 'L' 'R'],Male,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,81.39,2034.75,Yes
0113-['C' 'A' 'A' 'S' 'K'],Male,0,Yes,No,1,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,86.64,86.64,No
0114-['E' 'L' 'C' 'A' 'A'],Female,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),108.83,3373.73,No
0115-['H' 'J' 'K' 'L' 'M'],Female,0,Yes,No,12,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),40.11,481.32,No
0116-['L' 'N' 'B' 'S' 'R'],Female,0,No,Yes,67,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,101.57,6805.19,No
0117-['C' 'W' 'Q' 'Z' 'H'],Female,0,No,No,72,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),53.09,3822.48,No
0118-['Z' 'J' 'Z' 'B' 'S'],Female,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),57.58,806.12,No
0119-['I' 'G' 'D' 'Z' 'U'],Female,0,No,No,72,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,116.44,8383.68,No
0120-['R' 'M' 'K' 'X' 'D'],Male,0,No,No,8,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),69.83,558.64,Yes
0121-['Y' 'U' 'Y' 'D' 'J'],Male,1,Yes,Yes,27,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,106.74,2881.98,No
0122-['E' 'I' 'X' 'C' 'Q'],Male,0,No,No,1,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,89.26,89.26,Yes
0123-['C' 'P' 'D' 'R' 'Q'],Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,60.74,182.22,No
0124-['G' 'X' 'W' 'E' 'L'],Female,0,Yes,Yes,47,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,22.41,1053.27,No
0125-['Q' 'W' 'M' 'W' 'Y'],Male,1,Yes,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),68.25,3617.25,No
0126-['C' 'I' 'Q' 'Q' 'T'],Male,0,Yes,No,18,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,56.2,1011.6,No
0127-['P' 'Y' 'V' 'M' 'S'],Male,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),71.51,643.59,No
0128-['Q' 'D' 'L' 'I' 'S'],Female,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),92.57,1295.98,No
0129-['L' 'I' 'G' 'N' 'T'],Female,0,No,No,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,72.79,3493.92,No
0130-['S' 'Z' 'O' 'P' 'U'],Female,0,No,Yes,5,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,86.46,432.3,Yes
0131-['E' 'C' 'L' 'Y' 'T'],Male,0,No,No,8,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),89.34,714.72,No
0132-['U' 'D' 'U' 'W' 'P'],Male,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,97.5,3510.0,Yes
0133-['Y' 'G' 'M' 'U' 'J'],Male,0,No,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,84.28,5478.2,No
0134-['Z' 'G' 'N' 'Z' 'E'],Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,107.83,215.66,Yes
0135-['C' 'W' 'K' 'K' 'R'],Male,0,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),48.6,1895.4,No
0136-['O' 'L' 'I' 'J' 'Z'],Male,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,103.25,2478.0,No
0137-['L' 'Q' 'F' 'G' 'N'],Female,0,Yes,No,6,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),82.43,494.58,No
0138-['M' 'H' 'J' 'I' 'R'],Female,0,No,No,33,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),80.56,2658.48,No
0139-['Z' 'B' 'E' 'E' 'F'],Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),37.01,1147.31,No
0140-['S' 'H' 'P' 'M' 'A'],Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,104.09,312.27,Yes
0141-['V' 'T' 'Q' 'G' 'Y'],Male,0,Yes,No,16,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,79.36,1269.76,No
0142-['M' 'D' 'D' 'F' 'S'],Female,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,36.45,1239.3,No
0143-['L' 'V' 'G' 'J' 'Z'],Female,0,Yes,No,5,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,23.08,115.4,No
0144-['S' 'G' 'C' 'M' 'M'],Female,0,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,67.63,946.82,No
